제시문 number,기출문제,예상문제
서울대 기출,,
1,,대중미술의 대중성은 그 목적을 어떻게 찾을 수 있을까요?
1,,대중미술의 대중성은 왜 중요한가요?
1,,어떤 요소들이 공공미술의 대중성을 형성할까요?
2,,작가는 의도한 대로 혹은 무의식적으로 사회적인 메시지를 담을까요?
2,,작가는 자신의 예술적 열정을 위해 어떤 희생들을 해야 할까요?
2,,작가는 사람들에게 어떤 영향을 끼칠까요?
3,,작가는 의도한 대로 혹은 무의식적으로 사회적인 메시지를 담을까요? 
3,,작가는 글쓰기 때문에 자유롭게 표현할 수 있는 것이가요? 
3,,작가들이 쓰는 글쓰기는 예술적 가치뿐만 아니라 사회적 가치를 지닌다나요? 
4,,2014년 런던 지하철 파업 사건에서 일부 역에서 열차가 정차하지 않았다는 사실을 알게 된 사람들은 평소보다 더 빠른 길이임을 알게 되었다는 것을 어떻게 해석할 수 있을까요? 
4,,스마트폰 사용 시간이 증가하면 청소년들의 자살 충동 가능성이 높아지는다는 연구 결과에 대해서는 어떤 의견이 있을까요? 
4,,"학교 교육에서 부모와 학생은 소비자이며 교사와 학교관리자는 생산자이다. 이 관점에서 부모는 어떤 역할을 맡는지, 그리고 교사와 학교 관리자는 어떻게 자신의 이익을 추구할 수 있는지 설명해주세요. "
5,,송경운의 음악 스타일은 어떻게 형성되었을까? 
5,,최북은 왜 산수화를 잘 그리는 걸까요? 
5,,송경운과 최북은 어떤 점에서 서로 다른인가? 
6,,무신론과 미신의 비교에 대해 논의하세요. 
6,,무신론과 미신의 한 가지 차이점을 설명해주세요. 
6,,갈릴레이와 그의 지동설이 관련이 있다면 설명해주세요. 
고려대 기출,,
1,,
1,,
1,,
2,,제시문 (가)에서 벤은 학생들로부터 지지를 받을 수 있었던 이유는 무엇이었을까요? 
2,,제시문 (나)에서 연구자들이 발견한 것은 무엇이었을까요? 
2,,제시문 (다)에서 독일은 어떤 사회로 묘사되고 있나요? 
3,,유교 사상은 인간관계를 중요시하는 인본주의적인 특징을 가지고 있다. 이를 강조하기 위해 주어진 유교 경전에 대한 내용을 인용하여 질문을 작성해보세요. 
3,,"칼뱅과 베버는 자본주의에서 개인의 운명은 신의 섭리에 의해 정해진다고 생각했으며, 인간의 몸과 마음을 신의 은총을 확인하기 위해 일을 열심히 노력해야 한다고 보았습니다. 이를 통해, 자본주의는 인간의 직업과 경제 활동을 신에 의한 의지와 연관지어 이야기할 수 있습니다. "
3,,"두웨이밍은 유교 문화와 서양 산업화가 결합된 새로운 형태의 자본주의, 즉 유교 자본주의가 동양에서 성공적인 산업화와 경제 발전을 이룰 수 있는 비결이라고 주장했습니다. 이를 통해, 유교가 혁신적인 경제 발전과 산업화를 가능하게 한 것으로 강조하고자 합니다. "
4,,"네 번째 산업 시대가 초연결 사회인데, 이는 어떤 새로운 기회와 잠재력을 제공할 수 있는지 설명하시오. "
4,,과학 기술이 발전하고 있는 상황에서 어떤 잠재적인 문제가 발생할 수 있다고 생각하시오. 
4,,증기자동차의 발달은 마부 산업에서 어떤 변화를 가져왔는지 설명하시오. 
5,,이타주의는 현대사회에서 여전히 필요한 것인지 아니면 불필요하다고 볼 수 있을까요? 
5,,이타주의와 이기심은 서로 보완적인 관계인가요? 
5,,미신경은 이타주의와 관련이 있나요? 
6,,동양에서 정의는 어떤 의미를 가지고 있나요? 
6,,서양에서 정의는 어떤 의미를 가지고 있나요? 
6,,사회 정의의 종류에는 어떤 것들이 있을까요? 
7,,위 주어진 세 가지 묘사에 대한 의견을 제시하십시오: 각 묘사의 가장 큰 특징은 무엇인가요? 
7,,제시문 (가)와 제시문 (다)의 공통점은 무엇일까요? 어떻게 두 글 모두 도시 생활을 개선하는 요소로 인식할 수 있을까요? 
7,,제시문 (나)와 제시문 (다)의 공통점은 무엇일까요? 어떻게 두 글 모두 국가의 역할과 개인의 관계에 대한 이해를 강조할 수 있을까요? 
8,,
8,,
8,,
9,,란자(論子)가 말한 “사람은 금수보다 귀하고 초목은 금수보다 천한 존재이지요”라는 말이 맞는지 틀린지를 판단하시오. 
9,,송아지를 매우 작은 우리 안에 가두고 사육하는 방법으로 부드러운 송아지 고기를 얻는 방법이 개발되었습니다. 이 방법은 어떤 영향을 끼칠까요? 
9,,지속 가능한 발전은 어떤 개념인지 설명하시오. 
10,,두 번째 새우머니(2차 대전 이후)와 첫 번째 새우머니(한국에서의 서양식 근대화의 초기 시기)를 비교하여 문화적인 영향이 경제적인 영향에 어떤 영향을 끼쳤는지 설명하시오. 
10,,"한국에서의 서양식 근대화와 이에 따른 사회, 문화적인 변동의 영향은 어떤 형태였을까요? 이 변화에 대한 한국인들의 수용성과 어떻게 발전해 왔는지 설명하십시오. "
10,,"한국과 미국은 서로 다른 문화를 가지고 있지만, 두 나라의 경제 협력과 교류는 어떤 결과를 가져왔는지 설명하십시오. "
